fold,dev_files,test_files,semantic_threshold,noise_floor,dev_precision,dev_recall,dev_f1,dev_specificity,dev_tp,dev_fp,dev_fn,dev_tn,dev_fp_clean,test_precision,test_recall,test_f1,test_specificity,test_tp,test_fp,test_fn,test_tn,test_fp_clean,gap_precision,gap_recall,gap_f1,gap_specificity
1,957,243,0.55,0.6,0.506,0.983,0.668,0.0,4600,4488,78,0,3958,0.534,0.978,0.691,0.0,1291,1128,29,0,1056,-0.028000000000000025,0.0050000000000000044,-0.02299999999999991,0.0
2,958,242,0.55,0.6,0.51,0.981,0.671,0.0,4640,4466,89,0,3963,0.521,0.986,0.682,0.0,1251,1150,18,0,1051,-0.01100000000000001,-0.0050000000000000044,-0.01100000000000001,0.0
3,960,240,0.55,0.6,0.508,0.982,0.67,0.0,4703,4547,88,0,4058,0.526,0.984,0.686,0.0,1188,1069,19,0,956,-0.018000000000000016,-0.0020000000000000018,-0.016000000000000014,0.0
4,962,238,0.55,0.6,0.523,0.984,0.683,0.0,4837,4417,78,0,4004,0.468,0.973,0.632,0.0,1054,1199,29,0,1010,0.05499999999999999,0.01100000000000001,0.051000000000000045,0.0
5,963,237,0.55,0.6,0.513,0.981,0.673,0.0,4784,4546,95,0,4073,0.508,0.989,0.672,0.0,1107,1070,12,0,941,0.0050000000000000044,-0.008000000000000007,0.0010000000000000009,0.0
