semantic_threshold,noise_floor,precision,recall,f1,tp,fp,fn,fold
0.55,0.55,0.484,0.956,0.642,4682,5001,216,4
0.55,0.6,0.59,0.877,0.705,4353,3030,608,4
0.6,0.4,0.357,0.988,0.524,4353,7852,55,4
0.6,0.45,0.364,0.987,0.531,4353,7619,58,4
0.6,0.5,0.386,0.981,0.555,4353,6910,83,4
0.6,0.55,0.45,0.953,0.611,4353,5330,216,4
0.6,0.6,0.59,0.877,0.705,4353,3030,608,4
0.65,0.4,0.295,0.985,0.454,3600,8605,55,4
0.65,0.45,0.301,0.984,0.461,3600,8372,58,4
0.65,0.5,0.32,0.977,0.482,3600,7663,83,4
0.65,0.55,0.372,0.943,0.533,3600,6083,216,4
0.65,0.6,0.488,0.856,0.621,3600,3783,608,4
0.7,0.4,0.196,0.977,0.326,2387,9818,55,4
0.7,0.45,0.199,0.976,0.331,2387,9585,58,4
0.7,0.5,0.212,0.966,0.348,2387,8876,83,4
0.7,0.55,0.247,0.917,0.389,2387,7296,216,4
0.7,0.6,0.323,0.797,0.46,2387,4996,608,4
0.75,0.4,0.068,0.938,0.126,827,11378,55,4
0.75,0.45,0.069,0.934,0.129,827,11145,58,4
0.75,0.5,0.073,0.909,0.136,827,10436,83,4
0.75,0.55,0.085,0.793,0.154,827,8856,216,4
0.75,0.6,0.112,0.576,0.188,827,6556,608,4
0.8,0.4,0.018,0.798,0.035,217,11988,55,4
0.8,0.45,0.018,0.789,0.035,217,11755,58,4
0.8,0.5,0.019,0.723,0.038,217,11046,83,4
0.8,0.55,0.022,0.501,0.043,217,9466,216,4
0.8,0.6,0.029,0.263,0.053,217,7166,608,4
0.55,0.4,0.377,0.987,0.546,4633,7656,59,5
0.55,0.45,0.384,0.987,0.553,4633,7418,61,5
0.55,0.5,0.408,0.982,0.576,4633,6734,87,5
0.55,0.55,0.474,0.954,0.634,4633,5135,225,5
0.55,0.6,0.576,0.871,0.694,4295,3159,634,5
0.6,0.4,0.349,0.986,0.516,4295,7994,59,5
0.6,0.45,0.356,0.986,0.524,4295,7756,61,5
0.6,0.5,0.378,0.98,0.545,4295,7072,87,5
0.6,0.55,0.44,0.95,0.601,4295,5473,225,5
0.6,0.6,0.576,0.871,0.694,4295,3159,634,5
0.65,0.4,0.287,0.984,0.445,3533,8756,59,5
0.65,0.45,0.293,0.983,0.452,3533,8518,61,5
0.65,0.5,0.311,0.976,0.471,3533,7834,87,5
0.65,0.55,0.362,0.94,0.522,3533,6235,225,5
0.65,0.6,0.474,0.848,0.608,3533,3921,634,5
0.7,0.4,0.193,0.976,0.322,2373,9916,59,5
0.7,0.45,0.197,0.975,0.328,2373,9678,61,5
0.7,0.5,0.209,0.965,0.343,2373,8994,87,5
0.7,0.55,0.243,0.913,0.384,2373,7395,225,5
0.7,0.6,0.318,0.789,0.454,2373,5081,634,5
0.75,0.4,0.067,0.933,0.125,825,11464,59,5
0.75,0.45,0.068,0.931,0.128,825,11226,61,5
0.75,0.5,0.073,0.905,0.134,825,10542,87,5
0.75,0.55,0.084,0.786,0.153,825,8943,225,5
0.75,0.6,0.111,0.565,0.185,825,6629,634,5
0.8,0.4,0.018,0.793,0.036,226,12063,59,5
0.8,0.45,0.019,0.787,0.037,226,11825,61,5
0.8,0.5,0.02,0.722,0.039,226,11141,87,5
0.8,0.55,0.023,0.501,0.044,226,9542,225,5
0.8,0.6,0.03,0.263,0.054,226,7228,634,5
