fold,dev_files,test_files,semantic_threshold,noise_floor,dev_precision,dev_recall,dev_f1,dev_specificity,dev_tp,dev_fp,dev_fn,dev_tn,dev_fp_clean,test_precision,test_recall,test_f1,test_specificity,test_tp,test_fp,test_fn,test_tn,test_fp_clean,gap_precision,gap_recall,gap_f1,gap_specificity
1,957,243,0.55,0.6,0.572,0.874,0.691,0.851,4148,3102,600,15118,2642,0.597,0.869,0.707,0.837,1157,782,175,3718,722,-0.025000000000000022,0.0050000000000000044,-0.016000000000000014,0.014000000000000012
2,958,242,0.55,0.6,0.575,0.867,0.691,0.851,4167,3078,641,15106,2654,0.585,0.895,0.708,0.84,1138,806,134,3730,710,-0.010000000000000009,-0.028000000000000025,-0.017000000000000015,0.01100000000000001
3,960,240,0.55,0.6,0.573,0.873,0.692,0.845,4257,3167,617,14999,2761,0.594,0.869,0.705,0.864,1048,717,158,3837,603,-0.02100000000000002,0.0040000000000000036,-0.013000000000000012,-0.019000000000000017
4,962,238,0.55,0.6,0.59,0.877,0.705,0.85,4353,3030,608,15097,2663,0.527,0.851,0.651,0.842,952,854,167,3739,701,0.06299999999999994,0.026000000000000023,0.05399999999999994,0.008000000000000007
5,963,237,0.55,0.6,0.576,0.871,0.694,0.846,4295,3159,634,15024,2736,0.582,0.877,0.7,0.859,1010,725,141,3812,628,-0.006000000000000005,-0.006000000000000005,-0.006000000000000005,-0.013000000000000012
