fold,dev_files,test_files,semantic_threshold,noise_floor,dev_precision,dev_recall,dev_f1,dev_tp,dev_fp,dev_fn,test_precision,test_recall,test_f1,test_tp,test_fp,test_fn,gap_precision,gap_recall,gap_f1
1,957,243,0.55,0.6,0.506,0.983,0.668,4600,4488,78,0.534,0.978,0.691,1291,1128,29,-0.028000000000000025,0.0050000000000000044,-0.02299999999999991
2,958,242,0.55,0.6,0.51,0.981,0.671,4640,4466,89,0.521,0.986,0.682,1251,1150,18,-0.01100000000000001,-0.0050000000000000044,-0.01100000000000001
3,960,240,0.55,0.6,0.508,0.982,0.67,4703,4547,88,0.526,0.984,0.686,1188,1069,19,-0.018000000000000016,-0.0020000000000000018,-0.016000000000000014
4,962,238,0.55,0.6,0.523,0.984,0.683,4837,4417,78,0.468,0.973,0.632,1054,1199,29,0.05499999999999999,0.01100000000000001,0.051000000000000045
5,963,237,0.55,0.6,0.513,0.981,0.673,4784,4546,95,0.508,0.989,0.672,1107,1070,12,0.0050000000000000044,-0.008000000000000007,0.0010000000000000009
