fold,dev_files,test_files,semantic_threshold,noise_floor,dev_precision,dev_recall,dev_f1,dev_tp,dev_fp,dev_fn,test_precision,test_recall,test_f1,test_tp,test_fp,test_fn,gap_precision,gap_recall,gap_f1
1,957,243,0.55,0.6,0.572,0.874,0.691,4148,3102,600,0.597,0.869,0.707,1157,782,175,-0.025000000000000022,0.0050000000000000044,-0.016000000000000014
2,958,242,0.55,0.6,0.575,0.867,0.691,4167,3078,641,0.585,0.895,0.708,1138,806,134,-0.010000000000000009,-0.028000000000000025,-0.017000000000000015
3,960,240,0.55,0.6,0.573,0.873,0.692,4257,3167,617,0.594,0.869,0.705,1048,717,158,-0.02100000000000002,0.0040000000000000036,-0.013000000000000012
4,962,238,0.55,0.6,0.59,0.877,0.705,4353,3030,608,0.527,0.851,0.651,952,854,167,0.06299999999999994,0.026000000000000023,0.05399999999999994
5,963,237,0.55,0.6,0.576,0.871,0.694,4295,3159,634,0.582,0.877,0.7,1010,725,141,-0.006000000000000005,-0.006000000000000005,-0.006000000000000005
